"custid","gender","age","marriage","residence","job"
16307,0,30,0,"Mapo-gu","개인사업"
31014,0,40,1,"Jongno-gu","금융기관"
16733,0,30,1,"Yeongdeungpo-gu","교육기관"
29334,1,39,1,"Gangnam-gu","제조업"
13215,0,29,0,"Yangcheon-gu","제조업"
38497,0,48,1,"Songpa-gu","공공기관"
20389,0,32,0,"Seodaemun-gu","교육기관"
22385,0,33,1,"Gangbuk-gu","정보서비스"
24247,1,34,1,"Gwangjin-gu","그룹사"
40822,1,50,1,"Gwanak-gu","공무원"
30800,0,40,0,"Mapo-gu","개인사업"
28715,0,38,1,"Gangnam-gu","전문직"
11843,1,28,0,"Seodaemun-gu","그룹사"
10208,0,28,0,"Gwangjin-gu","제조업"
40277,0,49,1,"Gangdong-gu","의료기관"
44548,0,55,1,"Seongbuk-gu","제조업"
38173,0,47,1,"Mapo-gu","개인사업"
46554,0,58,1,"Seodaemun-gu","정보서비스"
17676,0,31,1,"Yeongdeungpo-gu","제조업"
23743,0,34,0,"Dobong-gu","도소매업"
14736,1,30,0,"Yangcheon-gu","제조업"
45865,1,57,1,"Seocho-gu","공공기관"
42322,0,52,1,"Seodaemun-gu","개인사업"
19277,0,32,0,"Dongjak-gu","개인사업"
25876,1,37,1,"Seodaemun-gu","제조업"
40631,1,50,1,"Mapo-gu","개인사업"
14961,0,30,0,"Dongjak-gu","정보서비스"
40038,1,49,1,"Songpa-gu","연구기관"
24407,1,34,0,"Seocho-gu","그룹사"
16241,0,30,0,"Seocho-gu","연구기관"
38586,0,48,1,"Gangdong-gu","개인사업"
32609,0,42,1,"Seodaemun-gu","개인사업"
29711,1,39,1,"Yongsan-gu","교육기관"
12246,0,29,0,"Dongdaemun-gu","개인사업"
33010,1,42,1,"Nowon-gu","개인사업"
45243,0,56,1,"Gangnam-gu","제조업"
30928,0,40,1,"Jungnang-gu","개인사업"
12321,0,29,1,"Dongjak-gu","개인사업"
26402,0,36,1,"Nowon-gu","개인사업"
48686,0,63,1,"Songpa-gu","도소매업"
46111,0,57,1,"Gangnam-gu","개인사업"
18514,0,31,1,"Gangnam-gu","개인사업"
12035,1,29,0,"Seodaemun-gu","의료기관"
17746,0,31,1,"Gangnam-gu","개인사업"
25056,0,35,1,"Seongbuk-gu","개인사업"
45343,1,56,1,"Gangdong-gu","개인사업"
